nom,artistes,année,popularité,durée_ms,tonalité,mode,signature_temps,acoustique,dansabilité,énergie,instrumentalité,vivacité,loudness,parlant,valence,tempo,album
Kill Bill,SZA,2022,92,153947,8,1,4,0.0543,0.644,0.728,0.169,0.161,-5.75,0.0351,0.43,88.993,SOS
Creepin' (with The Weeknd & 21 Savage),"Metro Boomin, The Weeknd, 21 Savage",2022,93,221520,1,0,4,0.417,0.715,0.62,0,0.0822,-6.005,0.0484,0.172,97.95,HEROES & VILLAINS
Kill Bill,SZA,2022,92,153947,8,1,4,0.0521,0.644,0.735,0.144,0.161,-5.747,0.0391,0.418,88.98,SOS
Rich Flex,"Drake, 21 Savage",2022,89,239360,11,0,3,0.0503,0.561,0.52,1.86e-06,0.355,-9.342,0.244,0.424,153.15,Her Loss
Just Wanna Rock,Lil Uzi Vert,2022,88,123891,11,1,4,0.0652,0.486,0.545,0.00474,0.0642,-7.924,0.0336,0.0385,150.187,Just Wanna Rock
Superhero (Heroes & Villains) [with Future & Chris Brown],"Metro Boomin, Future, Chris Brown",2022,88,182667,5,0,4,0.152,0.526,0.606,2.36e-06,0.194,-5.3,0.259,0.492,116.622,HEROES & VILLAINS
Romantic Homicide,d4vd,2022,89,132631,6,1,4,0.453,0.571,0.544,0.00805,0.322,-10.613,0.0299,0.216,132.052,Romantic Homicide
Something in the Orange,Zach Bryan,2022,85,228013,4,0,3,0.555,0.369,0.192,8.35e-06,0.0954,-12.151,0.04,0.148,175.212,Something in the Orange
Anti-Hero,Taylor Swift,2022,91,200690,4,1,4,0.13,0.637,0.643,1.8e-06,0.142,-6.571,0.0519,0.533,97.008,Midnights
Low,SZA,2022,86,181080,0,0,4,0.425,0.698,0.546,0.00314,0.16,-7.234,0.0559,0.335,145.044,SOS
Snooze,SZA,2022,88,201800,5,1,4,0.141,0.559,0.551,0,0.11,-7.231,0.132,0.392,143.008,SOS
Here With Me,d4vd,2022,91,242485,4,1,4,0.534,0.574,0.469,9.21e-05,0.128,-8.209,0.0254,0.288,132.023,Here With Me
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2022,92,156943,2,1,4,0.013,0.714,0.472,4.51e-06,0.266,-7.375,0.0864,0.238,131.121,Unholy (feat. Kim Petras)
Nobody Gets Me,SZA,2022,86,180853,7,1,3,0.805,0.358,0.284,0,0.183,-8.285,0.0285,0.276,99.796,SOS
golden hour,JVKE,2022,87,209260,4,1,3,0.653,0.515,0.593,0.162,0.25,-4.801,0.0322,0.153,94.467,this is what ____ feels like (Vol. 1-4)
You Proof,Morgan Wallen,2022,81,157478,9,1,4,0.252,0.731,0.85,0,0.605,-4.913,0.0336,0.644,119.706,You Proof
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",2022,85,218365,0,1,4,0.000307,0.529,0.673,2.41e-06,0.093,-4.711,0.175,0.366,165.921,"Honestly, Nevermind"
I'm Good (Blue),"David Guetta, Bebe Rexha",2022,92,175238,7,0,4,0.00383,0.561,0.965,7.07e-06,0.371,-3.673,0.0343,0.304,128.04,I'm Good (Blue)
Tití Me Preguntó,Bad Bunny,2022,88,243717,5,0,4,0.0993,0.65,0.715,0.000291,0.126,-5.198,0.253,0.187,106.672,Un Verano Sin Ti
Escapism.,"RAYE, 070 Shake",2022,89,272373,2,1,4,0.138,0.538,0.742,4.67e-05,0.0934,-5.355,0.114,0.25,96.107,Escapism. / The Thrill Is Gone.
Rock and A Hard Place,Bailey Zimmerman,2022,80,207541,1,1,3,0.577,0.582,0.568,0,0.105,-7.3,0.0275,0.394,121.991,Rock and A Hard Place
I Ain't Worried,OneRepublic,2022,90,148486,0,1,4,0.0826,0.704,0.797,0.000745,0.0546,-5.927,0.0475,0.825,139.994,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")"
Bad Habit,Steve Lacy,2022,84,232115,1,1,4,0.626,0.686,0.507,7.51e-05,0.383,-7.097,0.0357,0.69,168.955,Bad Habit
Me Porto Bonito,"Bad Bunny, Chencho Corleone",2022,89,178567,1,0,4,0.0901,0.911,0.712,2.68e-05,0.0933,-5.105,0.0817,0.425,92.005,Un Verano Sin Ti
Blind,SZA,2022,82,150720,9,0,4,0.911,0.461,0.279,0,0.205,-11.776,0.0373,0.599,114.225,SOS
As It Was,Harry Styles,2022,89,167303,6,0,4,0.342,0.52,0.731,0.00101,0.311,-5.338,0.0557,0.662,173.93,As It Was
Ditto,NewJeans,2022,89,185507,6,0,4,0.027,0.814,0.641,0,0.0993,-5.957,0.111,0.183,133.854,Ditto
CUFF IT,Beyoncé,2022,88,225389,7,1,4,0.0368,0.78,0.689,9.69e-06,0.0698,-5.668,0.141,0.642,115.042,RENAISSANCE
Nonsense,Sabrina Carpenter,2022,86,163648,8,1,4,0.0268,0.74,0.697,0,0.224,-4.912,0.034,0.732,138.992,emails i can't send
Lavender Haze,Taylor Swift,2022,85,202396,10,1,4,0.258,0.733,0.436,0.000573,0.157,-10.489,0.08,0.0976,96.985,Midnights
SPIT IN MY FACE!,ThxSoMch,2022,85,147875,8,1,4,0.0464,0.73,0.785,0.0216,0.111,-6.512,0.0554,0.649,94.094,SPIT IN MY FACE!
WAIT FOR U (feat. Drake & Tems),"Future, Drake, Tems",2022,83,189893,1,1,4,0.314,0.463,0.642,0,0.0686,-4.474,0.34,0.339,83.389,I NEVER LIKED YOU
Until I Found You (with Em Beihold) - Em Beihold Version,"Stephen Sanchez, Em Beihold",2022,89,176440,10,1,3,0.777,0.551,0.55,0,0.202,-5.339,0.0286,0.342,101.19,Until I Found You (Em Beihold Version)
Calm Down (with Selena Gomez),"Rema, Selena Gomez",2022,91,239318,11,1,4,0.382,0.801,0.806,0.000669,0.114,-5.206,0.0381,0.802,106.999,Calm Down (with Selena Gomez)
Players,Coi Leray,2022,86,139560,6,1,4,0.03,0.954,0.516,7.54e-06,0.0504,-5.817,0.16,0.624,105.001,Players
I Like You (A Happier Song) (with Doja Cat),"Post Malone, Doja Cat",2022,84,192841,5,1,4,0.121,0.733,0.67,0,0.121,-6.009,0.0751,0.472,100.964,Twelve Carat Toothache
Late Night Talking,Harry Styles,2022,86,177955,10,1,4,0.298,0.714,0.728,0,0.106,-4.595,0.0468,0.901,114.996,Harry's House
Que Vuelvas,"Carin Leon, Grupo Frontera",2022,87,169419,10,1,4,0.187,0.491,0.643,0,0.109,-4.309,0.0442,0.779,162.469,Que Vuelvas
Made You Look,Meghan Trainor,2022,89,134256,10,1,4,0.345,0.838,0.525,1.92e-06,0.0771,-3.562,0.0665,0.884,144.981,Takin' It Back
Out thë way,Yeat,2022,81,150242,4,0,4,0.21,0.767,0.628,8.79e-06,0.275,-7.41,0.242,0.798,128.07,Lyfë
Shirt,SZA,2022,82,181840,3,0,4,0.228,0.848,0.512,0.00232,0.0879,-7.72,0.102,0.572,120.009,SOS
La Bachata,Manuel Turizo,2022,92,162638,7,0,4,0.583,0.835,0.679,1.98e-06,0.218,-5.329,0.0364,0.85,124.98,La Bachata
Bebe Dame,"Fuerza Regida, Grupo Frontera",2022,86,271862,7,1,4,0.296,0.537,0.602,0,0.0715,-4.631,0.0458,0.753,157.437,Bebe Dame
Too Many Nights (feat. Don Toliver & with Future),"Metro Boomin, Future, Don Toliver",2022,82,199920,7,0,4,0.189,0.684,0.671,2.37e-05,0.122,-4.392,0.0464,0.156,88.048,HEROES & VILLAINS
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],"Metro Boomin, Travis Scott, 21 Savage",2022,82,207307,2,1,4,0.189,0.671,0.658,8.66e-05,0.147,-5.567,0.309,0.257,87.933,HEROES & VILLAINS
Thought You Should Know,Morgan Wallen,2022,78,215572,6,1,4,0.488,0.529,0.695,1.24e-05,0.142,-6.174,0.0278,0.514,139.993,Thought You Should Know
One Thing At A Time,Morgan Wallen,2022,78,206865,7,1,4,0.0042,0.614,0.913,1.72e-06,0.26,-5.126,0.0296,0.92,141.982,One Thing At A Time (Sampler)
Ghost in the Machine (feat. Phoebe Bridgers),"SZA, Phoebe Bridgers",2022,80,218587,6,1,4,0.837,0.624,0.433,0.0294,0.113,-9.572,0.0467,0.589,124.979,SOS
Bad Habit,Steve Lacy,2022,82,232067,1,1,4,0.613,0.686,0.494,5.8e-05,0.402,-7.093,0.0355,0.7,168.946,Gemini Rights
ALL MINE,Brent Faiyaz,2022,79,216063,9,1,4,0.428,0.617,0.378,9.16e-05,0.11,-8.54,0.0315,0.22,141.967,WASTELAND
Efecto,Bad Bunny,2022,87,213061,7,0,4,0.141,0.801,0.475,1.73e-05,0.0639,-8.797,0.0516,0.234,98.047,Un Verano Sin Ti
Boy's a liar,PinkPantheress,2022,83,131253,5,1,4,0.25,0.656,0.838,0.00281,0.207,-8.407,0.041,0.74,132.981,Boy's a liar
Pussy & Millions (feat. Travis Scott),"Drake, 21 Savage, Travis Scott",2022,81,242027,4,0,4,0.0623,0.749,0.63,0,0.353,-6.652,0.116,0.445,122.03,Her Loss
As It Was,Harry Styles,2022,88,167303,6,0,4,0.342,0.52,0.731,0.00101,0.311,-5.338,0.0557,0.662,173.93,Harry's House
Love Language,SZA,2022,79,183893,9,0,4,0.853,0.707,0.261,0,0.127,-10.139,0.0784,0.545,65.038,SOS
Gato de Noche,"Ñengo Flow, Bad Bunny",2022,88,227013,8,1,4,0.169,0.892,0.662,1.24e-06,0.363,-3.894,0.162,0.607,93.976,Gato de Noche
AMG,"Natanael Cano, Peso Pluma, Gabito Ballesteros",2022,87,174943,11,0,3,0.152,0.772,0.73,0.000107,0.274,-6.657,0.0972,0.786,136.175,AMG
Evergreen (You Didn’t Deserve Me At All),Omar Apollo,2022,81,216680,9,1,3,0.598,0.697,0.336,0.00528,0.107,-10.395,0.0424,0.31,82.029,Ivory
